#Text file containing information about the calibration parameters
#for the strike-map alignment using FILD_overlay_pix.pro or FILD_overlay_image.pro (either calibrating via pixels or using image)
#FORMAT IS:
#CAL_ID	CAMERA	PULSE_1	PULSE_2	XSHIFT	YSHIFT	XSCALE	YSCALE 	DEG	CAL_TYPE	FILD_ID

1	  CCD	     28031	30369	530	470	-101	101	0	PIX		2
2	  CCD	     30370	30855	448	493	-80	80	2.0	PIX		2
3	  PHANTOM	 28031	30369	482	310	-27	29	0	PIX		1
4	  PHANTOM	 30370	30808	69	135	-32	32	-158	PIX		1
5	  CCD	     28031	30369	50	50	1.5	1.3	0	IMAGE		2
6	  CCD	     30370	30855	-12	106	0.75	0.72	-2.75	IMAGE		2
7	  PHANTOM	 28031	30369	372	285	0.33	-0.33	0	IMAGE		1
8	  PHANTOM  30370	30499	300	230	0.30	0.30	159	IMAGE		1
9	  PHANTOM  30500	30808	40	70	0.35	0.35	0	IMAGE		1
10	PHANTOM	 31542	31600	12	71	0.35	0.35	-7	IMAGE		1
11	PHANTOM  30807	30811	30	0	0.35	0.35	0	IMAGE		1
12	PHANTOM  30807	30811	245	205	-38	38	0	PIX		1
13	CCD	     31879	33999	-145	-148	1.29	1.29	0	IMAGE		2
14	CCD	     31879	33999	630	600	-140	140	0	PIX		2
15	CCD	     31879	33999	485	550	-0.51	0.5	-99	IMAGE		3
16	CCD	     31879	33999	245	210	54	54	99	PIX		3
17	PHANTOM	 32066	32100	150	137	0.45	0.45	0	IMAGE		1
18	PHANTOM	 32066	32100	415	403	-49.	49.	-0	PIX		1
19	PHANTOM	 32303	32339	130	170	0.45	0.46	1.0	IMAGE		1
20	PHANTOM	 32303	32339	394	445	-48	48	-0.0	PIX		1
21	PHANTOM	 33100	33200	187	44	0.45	0.46	1.5	IMAGE		1
22	PHANTOM	 33100	33200	450	320	-48	50	-1.5	PIX		1
23	PHANTOM	 33300	33450	280	-15	0.45	0.46	0.	IMAGE		1
24	PHANTOM	 33300	33450	550	260	-50	52	-1.	PIX		1
25	CCD	     34000	99999	630	560	-140	140	0	PIX		2
26	PHANTOM  34500	35000	360	120	-48.	48.	-162.	PIX		1
27	CCD	     34400	35000	300	-100	101.	101.	140	PIX		5
28 	CCD 	   35001  99999   570  	-87    -125.   -125.    0   	PIX     	5
29  CCD 	   35001  36299   20      630 	160     160     0   	PIX     	4
30  PHANTOM  35001  35338   590 	405 	-49.     49. 	11.    	PIX     	1
31  PHANTOM  35923  36356   934 	563 	-49.     49. 	29.    	PIX     	1
32	PHANTOM  36357	37605	387	255	-50.	 50.	15.	PIX		1
33  CCD 	   36300  99999   0       -80. 	160.   -160.     1.   	PIX     	4
34	PHANTOM	 37606	37678	365	295	-50.	50.	18.	PIX		1
35  PHANTOM  37679  37714   385 	290 	-50.    50. 	18. 	PIX     	1
36 	PHANTOM  37715  37719   393 	245 	-50.    50.	16. 	PIX     	1
37	PHANTOM	 38000	38016	440	315	-52.	52.	17.	PIX		1
38	PHANTOM	 38017	38657	432	297	-52.	52.	17.	PIX		1
39 	PHANTOM	 38657	38658	150	75	50.	-50.	12.5	PIX		1
40	PHANTOM	 38659	39412	144	68	50.	-50.	12.5	PIX		1
41  PHANTOM  39413  39415 640 381 -50. 50. 20 PIX 1
42  PHANTOM  39416  39571 405 280 -50. 50. 20 PIX 1
43  PHANTOM  39572  39582 430	260	-50. 50. 20 PIX 1
44  PHANTOM  39583  99999 427 278 -51. 51. 20 PIX 1
