# ---------------------------------------------- header, 5 lines----------------
# Spectral Response Curve (monochrome)
# Taken from company pdf, 14-04-2021
#  Wavelength(nm)  Response (A/W)
# ------------------------------------------------------------------------------
   3.5036801e+02   1.1227154e-02
   3.5772816e+02   1.4360313e-02
   3.5846418e+02   1.7597911e-02
   3.6288027e+02   2.1044386e-02
   3.6508832e+02   2.4281984e-02
   3.6876840e+02   2.8459530e-02
   3.7097645e+02   3.3159269e-02
   3.7244848e+02   3.7650131e-02
   3.7612856e+02   4.2245431e-02
   3.7686457e+02   4.7049608e-02
   3.7833660e+02   5.2167102e-02
   3.7980864e+02   5.7389034e-02
   3.8348871e+02   6.3550914e-02
   3.8643278e+02   6.9921671e-02
   3.8864082e+02   7.6501305e-02
   3.9232090e+02   8.2349869e-02
   3.9379293e+02   8.7989556e-02
   3.9600098e+02   9.3107050e-02
   3.9820903e+02   9.7702350e-02
   4.0262512e+02   1.0177546e-01
   4.0556919e+02   1.0605744e-01
   4.0777723e+02   1.1013055e-01
   4.1145731e+02   1.1389034e-01
   4.1660942e+02   1.1785901e-01
   4.1955348e+02   1.2161880e-01
   4.2323356e+02   1.2485640e-01
   4.2544161e+02   1.2746736e-01
   4.2912169e+02   1.3028721e-01
   4.3427380e+02   1.3258486e-01
   4.3868989e+02   1.3561358e-01
   4.4016192e+02   1.3874674e-01
   4.4384200e+02   1.4261097e-01
   4.4678606e+02   1.4626632e-01
   4.5193817e+02   1.5023499e-01
   4.5782630e+02   1.5389034e-01
   4.6077036e+02   1.5775457e-01
   4.6445044e+02   1.6099217e-01
   4.7033857e+02   1.6412533e-01
   4.7475466e+02   1.6715405e-01
   4.7769872e+02   1.7007833e-01
   4.7990677e+02   1.7195822e-01
   4.8285083e+02   1.7321149e-01
   4.8505888e+02   1.7383812e-01
   4.8800294e+02   1.7456919e-01
   4.9021099e+02   1.7530026e-01
   4.9389107e+02   1.7665796e-01
   4.9536310e+02   1.7853786e-01
   4.9536310e+02   1.8125326e-01
   4.9757115e+02   1.8375979e-01
   4.9904318e+02   1.8584856e-01
   5.0198724e+02   1.8793734e-01
   5.0787537e+02   1.9002611e-01
   5.1008342e+02   1.9190601e-01
   5.1155545e+02   1.9389034e-01
   5.1376349e+02   1.9608355e-01
   5.1597154e+02   1.9754569e-01
   5.1817959e+02   1.9911227e-01
   5.2185967e+02   1.9932115e-01
   5.2333170e+02   1.9890339e-01
   5.2333170e+02   1.9859008e-01
   5.2627576e+02   1.9911227e-01
   5.2848381e+02   1.9973890e-01
   5.2995584e+02   2.0193211e-01
   5.3216389e+02   2.0475196e-01
   5.3363592e+02   2.0715405e-01
   5.3584396e+02   2.0913838e-01
   5.3731600e+02   2.1018277e-01
   5.3878803e+02   2.1039164e-01
   5.4173209e+02   2.1028721e-01
   5.4467615e+02   2.1039164e-01
   5.4688420e+02   2.1080940e-01
   5.4982826e+02   2.1174935e-01
   5.5203631e+02   2.1342037e-01
   5.5571639e+02   2.1582245e-01
   5.5645240e+02   2.1780679e-01
   5.5866045e+02   2.1906005e-01
   5.6013248e+02   2.1968668e-01
   5.6234053e+02   2.1937337e-01
   5.6454858e+02   2.1822454e-01
   5.6675662e+02   2.1749347e-01
   5.6970069e+02   2.1770235e-01
