# D_scintillator[cm]  distortion
    7.0000  -30.1480
    6.4431  -27.0786
    5.9489  -24.2914
    5.5340  -21.9234
    5.2175  -20.1098
    5.0180  -18.9677
    4.9497  -18.5774
    5.0180  -18.9674
    5.2175  -20.1091
    5.5340  -21.9223
    5.9489  -24.2899
    6.4431  -27.0767
    7.0000  -30.1458
    6.4431  -27.0783
    5.8333  -23.6336
    5.2823  -20.4810
    4.8103  -17.7819
    4.4425  -15.7009
    4.2065  -14.3837
    4.1248  -13.9322
    4.2065  -14.3832
    4.4425  -15.6999
    4.8103  -17.7804
    5.2823  -20.4789
    5.8333  -23.6311
    6.4431  -27.0753
    5.9489  -24.2910
    5.2823  -20.4808
    4.6667  -16.9657
    4.1248  -13.9323
    3.6893  -11.5765
    3.4014  -10.0768
    3.2998   -9.5611
    3.4014  -10.0761
    3.6893  -11.5750
    4.1248  -13.9301
    4.6667  -16.9628
    5.2823  -20.4773
    5.9489  -24.2871
    5.5340  -21.9228
    4.8103  -17.7816
    4.1248  -13.9323
    3.5000  -10.5844
    2.9744   -7.9653
    2.6087   -6.2883
    2.4749   -5.7097
    2.6087   -6.2873
    2.9744   -7.9633
    3.5000  -10.5815
    4.1248  -13.9285
    4.8103  -17.7772
    5.5340  -21.9178
    5.2175  -20.1092
    4.4425  -15.7006
    3.6893  -11.5765
    2.9744   -7.9654
    2.3333   -5.1220
    1.8447   -3.2918
    1.6499   -2.6584
    1.8447   -3.2905
    2.3333   -5.1193
    2.9744   -7.9615
    3.6893  -11.5716
    4.4425  -15.6950
    5.2175  -20.1031
    5.0180  -18.9672
    4.2065  -14.3835
    3.4014  -10.0770
    2.6087   -6.2887
    1.8447   -3.2922
    1.1667   -1.3563
    0.8250   -0.6847
    1.1667   -1.3546
    1.8447   -3.2888
    2.6087   -6.2839
    3.4014  -10.0711
    4.2065  -14.3768
    5.0180  -18.9601
    4.9497  -18.5771
    4.1248  -13.9323
    3.2998   -9.5616
    2.4749   -5.7104
    1.6499   -2.6592
    0.8250   -0.6853
         0         0
    0.8250   -0.6832
    1.6499   -2.6552
    2.4749   -5.7048
    3.2998   -9.5547
    4.1248  -13.9246
    4.9497  -18.5689
    5.0180  -18.9674
    4.2065  -14.3836
    3.4014  -10.0769
    2.6087   -6.2885
    1.8447   -3.2918
    1.1667   -1.3557
    0.8250   -0.6841
    1.1667   -1.3535
    1.8447   -3.2874
    2.6087   -6.2823
    3.4014  -10.0695
    4.2065  -14.3752
    5.0180  -18.9585
    5.2175  -20.1096
    4.4425  -15.7009
    3.6893  -11.5765
    2.9744   -7.9651
    2.3333   -5.1214
    1.8447   -3.2909
    1.6499   -2.6572
    1.8447   -3.2887
    2.3333   -5.1169
    2.9744   -7.9587
    3.6893  -11.5686
    4.4425  -15.6921
    5.2175  -20.1002
    5.5340  -21.9234
    4.8103  -17.7820
    4.1248  -13.9323
    3.5000  -10.5842
    2.9744   -7.9646
    2.6087   -6.2872
    2.4749   -5.7080
    2.6087   -6.2849
    2.9744   -7.9601
    3.5000  -10.5778
    4.1248  -13.9244
    4.8103  -17.7731
    5.5340  -21.9138
    5.9489  -24.2917
    5.2823  -20.4813
    4.6667  -16.9659
    4.1248  -13.9321
    3.6893  -11.5758
    3.4014  -10.0755
    3.2998   -9.5591
    3.4014  -10.0732
    3.6893  -11.5713
    4.1248  -13.9258
    4.6667  -16.9581
    5.2823  -20.4725
    5.9489  -24.2822
    6.4431  -27.0792
    5.8333  -23.6343
    5.2823  -20.4812
    4.8103  -17.7817
    4.4425  -15.7001
    4.2065  -14.3822
    4.1248  -13.9299
    4.2065  -14.3800
    4.4425  -15.6959
    4.8103  -17.7757
    5.2823  -20.4738
    5.8333  -23.6257
    6.4431  -27.0700
    7.0000  -30.1490
    6.4431  -27.0792
    5.9489  -24.2917
    5.5340  -21.9231
    5.2175  -20.1090
    5.0180  -18.9662
    4.9497  -18.5750
    5.0180  -18.9641
    5.2175  -20.1050
    5.5340  -21.9175
    5.9489  -24.2847
    6.4431  -27.0711
    7.0000  -30.1401
