Scintillator file for SINPA FILDSIM
Scintilator stl file: scintillator
File by jansen 
2  ! Kind of plate
187  ! Number of triangles
3.852E-07      0.058015        -0.049982
-5.6755E-08    0.063014        -0.044981
5.6402E-08     0.063002        -0.0049809
5.2216E-07     0.058001        0.00001757
-2.2526E-07    0.042548        0.00001295
-2.1004E-07    0.038996        0.016012
-1.5456E-07    0.018996        0.016006
-2.1679E-07    0.015453        4.8582E-06
-2.685E-08     -2.0681E-07     2.4094E-07
-5.4001E-07    -0.0049988      -0.0050012
-6.561E-07     -0.0049873      -0.045001
-1.6069E-07    0.00001412      -0.05
-2.8157E-07    -0.000069706    -0.045824
2.1189E-07     -0.00059033     -0.045773
2.662E-07      -0.0010975      -0.045644
1.7477E-07     -0.0015798      -0.045442
-7.3185E-08    -0.0020267      -0.04517
-3.2057E-07    -0.0024278      -0.044834
3.3742E-08     -0.0027747      -0.044443
-4.0356E-07    -0.0030592      -0.044004
-4.998E-07     -0.0032751      -0.043527
-3.1906E-07    -0.0034176      -0.043024
-9.1603E-08    -0.0034836      -0.042505
-7.241E-07     -0.0034713      -0.041982
-9.9769E-08    -0.0033813      -0.041467
2.7584E-07     -0.0032156      -0.040971
-2.659E-07     -0.0029776      -0.040505
1.0284E-07     -0.002673       -0.040079
-6.0834E-07    -0.0023082      -0.039704
-3.8922E-07    -0.0018917      -0.039388
1.6341E-07     -0.0014329      -0.039137
7.7869E-08     -0.00094156     -0.038957
-2.1284E-08    -0.00042901     -0.038853
-2.3032E-08    0.000093431     -0.038826
-4.9756E-07    0.00061414      -0.038877
-5.5187E-07    0.0011214       -0.039005
-4.6045E-07    0.0016037       -0.039208
-3.5108E-07    0.0020504       -0.03948
-8.5739E-08    0.0024517       -0.039815
-4.4005E-07    0.0027985       -0.040207
9.7011E-08     0.0030829       -0.040646
1.9519E-07     0.0032988       -0.041122
-8.7448E-08    0.0034414       -0.041626
-2.1202E-07    0.0035073       -0.042145
-6.5723E-07    0.0034952       -0.042668
-1.8688E-07    0.0034051       -0.043183
-5.7946E-07    0.0032394       -0.043679
-2.075E-08     0.0030014       -0.044145
