# AUG-vessel
# This file is taken by hand, its purpose is completely temporal
# R[m]  z[m]
#------------------------------------------------------------------------------
    1.2629   -1.1106
    1.2851   -0.9329
    1.2036   -0.7700
    1.1592   -0.7034
    1.0703   -0.3776
    1.0185         0
    1.0555    0.2221
    1.1222    0.6145
    1.1518    0.8218
    1.2406    0.9625
    1.3221    1.0884
    1.5146    1.1772
    1.7737    1.0884
    1.8626    0.9329
    2.0551    0.6219
    2.1587    0.4516
    2.2106    0.1111
    2.1735   -0.1777
    2.0921   -0.3702
    2.0032   -0.5553
    1.8922   -0.6664
    1.7811   -0.7996
    1.7071   -0.8589
    1.6404   -1.0143
    1.6034   -1.1476
    1.5738   -1.2365
    1.5072   -1.1254
    1.4850   -1.1106
    1.4257   -1.0884
    1.3665   -1.0810
    1.2925   -1.1106
