# D3D-vessel (shot 184350, gotten from efit)
# R[m]  z[m]
#------------------------------------------------------------------------------
1.01730001 0.0
1.01932001 1.11591995
1.01127005 1.16271996
1.00224996 1.21238995
1.02639997 1.21238995
1.03497005 1.16392004
1.03842998 1.16235995
1.06122005 1.16356003
1.09895003 1.16589999
1.13813996 1.16823995
1.16191995 1.17446005
1.19008005 1.18699002
1.21012998 1.20185006
1.23081994 1.22499001
1.23939002 1.23863995
1.26108003 1.28634
1.28076005 1.33403003
1.28076005 1.34810996
1.33062005 1.34810996
1.41947997 1.34748995
1.41947997 1.31036997
1.37993002 1.31093001
1.37410998 1.30689001
1.36740994 1.26408994
1.36789 1.22646999
1.37232995 1.19475996
1.38840997 1.16448998
1.40222001 1.15728998
1.41559005 1.15646994
1.42587996 1.16276002
1.48800004 1.23930001
1.49823999 1.23380995
1.49109995 1.21349001
1.49501002 1.16171002
1.47765005 1.12226999
1.48169005 1.11591995
1.49105 1.11275005
1.52942002 1.10483003
1.60203004 1.09308004
1.64134002 1.07020998
1.64687002 1.07845998
1.78340006 1.07209003
2.04518008 1.03909004
2.05605006 1.04322004
2.10643005 0.999729991
2.08569002 0.869265974
2.22220993 0.519111991
2.24294996 0.448630989
2.30183005 0.280676991
2.31151009 0.279680014
2.3336401 0.219329998
2.34012008 0.219872996
2.34645009 0.198669001
2.34827995 0.0632878989
2.35109997 0.0420836993
2.34827995 -0.254776001
2.34645009 -0.272718012
2.34461999 -0.410818011
2.35109997 -0.420603991
2.23979998 -0.684297979
2.22333002 -0.684297979
2.21052003 -0.714201987
2.21318007 -0.732686996
2.20670009 -0.753892004
2.20021009 -0.735949993
2.18756008 -0.771290004
2.19388008 -0.789776027
2.13232994 -0.945818007
1.78394997 -1.15894997
1.74519002 -1.23995996
1.74687004 -1.24047995
1.74579 -1.24380004
1.64520001 -1.24479997
1.40117002 -1.24477005
1.38558996 -1.24820995
1.37489998 -1.25832999
1.36953998 -1.26941001
1.36824 -1.27555001
1.36860001 -1.32246995
1.37256002 -1.3247
1.42770004 -1.3247
1.42770004 -1.35782003
1.1645 -1.35894001
1.01627004 -1.21800005
1.01750004 -1.21700001
1.01730001 -0.00100000005
1.01730001 0.0
